78039 silly lifecycle lower-case@1.1.3~preinstall: no script for preinstall, continuing
82639 verbose linkMans jpegtran-bin@0.2.8
82640 silly build optipng-bin@0.3.11
82641 info linkStuff optipng-bin@0.3.11
82642 silly linkStuff optipng-bin@0.3.11 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82643 verbose linkBins optipng-bin@0.3.11
82644 verbose link bins [ { optipng: 'cli.js' },
82644 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
82644 verbose link bins   false ]
82645 verbose linkMans optipng-bin@0.3.11
82646 silly build bin-wrapper@0.2.4
82647 info linkStuff bin-wrapper@0.2.4
82648 silly linkStuff bin-wrapper@0.2.4 has D:\MyWorkSpace\mm-web\node_modules\pngquant-bin\node_modules as its parent node_modules
82649 verbose linkBins bin-wrapper@0.2.4
82650 verbose linkMans bin-wrapper@0.2.4
82651 silly build pngquant-bin@0.1.7
82652 info linkStuff pngquant-bin@0.1.7
82653 silly linkStuff pngquant-bin@0.1.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82654 verbose linkBins pngquant-bin@0.1.7
82655 verbose link bins [ { pngquant: 'cli.js' },
82655 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
82655 verbose link bins   false ]
82656 verbose linkMans pngquant-bin@0.1.7
82657 silly build insight@0.4.3
82658 info linkStuff insight@0.4.3
82659 silly linkStuff insight@0.4.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82660 verbose linkBins insight@0.4.3
82661 verbose linkMans insight@0.4.3
82662 silly build tar-stream@0.4.7
82663 info linkStuff tar-stream@0.4.7
82664 silly linkStuff tar-stream@0.4.7 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82665 verbose linkBins tar-stream@0.4.7
82666 verbose linkMans tar-stream@0.4.7
82667 silly build tar-fs@0.5.2
82668 info linkStuff tar-fs@0.5.2
82669 silly linkStuff tar-fs@0.5.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82670 verbose linkBins tar-fs@0.5.2
82671 verbose linkMans tar-fs@0.5.2
82672 silly build bower@1.3.12
82673 info linkStuff bower@1.3.12
82674 silly linkStuff bower@1.3.12 has D:\MyWorkSpace\mm-web\node_modules\google-cdn\node_modules as its parent node_modules
82675 verbose linkBins bower@1.3.12
82676 verbose link bins [ { bower: 'bin/bower' },
82676 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\google-cdn\\node_modules\\.bin',
82676 verbose link bins   false ]
82677 verbose linkMans bower@1.3.12
82678 silly build google-cdn@0.7.0
82679 info linkStuff google-cdn@0.7.0
82680 silly linkStuff google-cdn@0.7.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82681 verbose linkBins google-cdn@0.7.0
82682 verbose linkMans google-cdn@0.7.0
82683 silly build through2@0.6.5
82684 info linkStuff through2@0.6.5
82685 silly linkStuff through2@0.6.5 has D:\MyWorkSpace\mm-web\node_modules\wiredep\node_modules as its parent node_modules
82686 verbose linkBins through2@0.6.5
82687 verbose linkMans through2@0.6.5
82688 silly build wiredep@2.2.2
82689 info linkStuff wiredep@2.2.2
82690 silly linkStuff wiredep@2.2.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82691 verbose linkBins wiredep@2.2.2
82692 verbose link bins [ { wiredep: './wiredep-cli.js' },
82692 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
82692 verbose link bins   false ]
82693 verbose linkMans wiredep@2.2.2
82694 silly build camelcase@1.2.1
82695 info linkStuff camelcase@1.2.1
82696 silly linkStuff camelcase@1.2.1 has D:\MyWorkSpace\mm-web\node_modules\yargs\node_modules as its parent node_modules
82697 verbose linkBins camelcase@1.2.1
82698 verbose linkMans camelcase@1.2.1
82699 silly build yargs@3.5.4
82700 info linkStuff yargs@3.5.4
82701 silly linkStuff yargs@3.5.4 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82702 verbose linkBins yargs@3.5.4
82703 verbose linkMans yargs@3.5.4
82704 silly build uglify-js@2.4.24
82705 info linkStuff uglify-js@2.4.24
82706 silly linkStuff uglify-js@2.4.24 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82707 verbose linkBins uglify-js@2.4.24
82708 verbose link bins [ { uglifyjs: 'bin/uglifyjs' },
82708 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
82708 verbose link bins   false ]
82709 verbose linkMans uglify-js@2.4.24
82710 silly build html-minifier@0.7.2
82711 info linkStuff html-minifier@0.7.2
82712 silly linkStuff html-minifier@0.7.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82713 verbose linkBins html-minifier@0.7.2
82714 verbose link bins [ { 'html-minifier': './cli.js' },
82714 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
82714 verbose link bins   false ]
82715 verbose linkMans html-minifier@0.7.2
82716 silly build grunt@0.4.5
82717 info linkStuff grunt@0.4.5
82718 silly linkStuff grunt@0.4.5 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82719 verbose linkBins grunt@0.4.5
82720 verbose linkMans grunt@0.4.5
82721 silly build grunt-autoprefixer@2.2.0
82722 info linkStuff grunt-autoprefixer@2.2.0
82723 silly linkStuff grunt-autoprefixer@2.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82724 verbose linkBins grunt-autoprefixer@2.2.0
82725 verbose linkMans grunt-autoprefixer@2.2.0
82726 silly build grunt-cli@1.2.0
82727 info linkStuff grunt-cli@1.2.0
82728 silly linkStuff grunt-cli@1.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82729 verbose linkBins grunt-cli@1.2.0
82730 verbose link bins [ { grunt: 'bin/grunt' },
82730 verbose link bins   'D:\\MyWorkSpace\\mm-web\\node_modules\\.bin',
82730 verbose link bins   false ]
82731 verbose linkMans grunt-cli@1.2.0
82732 silly build grunt-concurrent@1.0.1
82733 info linkStuff grunt-concurrent@1.0.1
82734 silly linkStuff grunt-concurrent@1.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82735 verbose linkBins grunt-concurrent@1.0.1
82736 verbose linkMans grunt-concurrent@1.0.1
82737 silly build grunt-contrib-clean@0.6.0
82738 info linkStuff grunt-contrib-clean@0.6.0
82739 silly linkStuff grunt-contrib-clean@0.6.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82740 verbose linkBins grunt-contrib-clean@0.6.0
82741 verbose linkMans grunt-contrib-clean@0.6.0
82742 silly build grunt-contrib-concat@0.5.1
82743 info linkStuff grunt-contrib-concat@0.5.1
82744 silly linkStuff grunt-contrib-concat@0.5.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82745 verbose linkBins grunt-contrib-concat@0.5.1
82746 verbose linkMans grunt-contrib-concat@0.5.1
82747 silly build grunt-contrib-connect@0.9.0
82748 info linkStuff grunt-contrib-connect@0.9.0
82749 silly linkStuff grunt-contrib-connect@0.9.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82750 verbose linkBins grunt-contrib-connect@0.9.0
82751 verbose linkMans grunt-contrib-connect@0.9.0
82752 silly build grunt-contrib-copy@0.7.0
82753 info linkStuff grunt-contrib-copy@0.7.0
82754 silly linkStuff grunt-contrib-copy@0.7.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82755 verbose linkBins grunt-contrib-copy@0.7.0
82756 verbose linkMans grunt-contrib-copy@0.7.0
82757 silly build grunt-contrib-cssmin@0.12.3
82758 info linkStuff grunt-contrib-cssmin@0.12.3
82759 silly linkStuff grunt-contrib-cssmin@0.12.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82760 verbose linkBins grunt-contrib-cssmin@0.12.3
82761 verbose linkMans grunt-contrib-cssmin@0.12.3
82762 silly build grunt-contrib-htmlmin@0.4.0
82763 info linkStuff grunt-contrib-htmlmin@0.4.0
82764 silly linkStuff grunt-contrib-htmlmin@0.4.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82765 verbose linkBins grunt-contrib-htmlmin@0.4.0
82766 verbose linkMans grunt-contrib-htmlmin@0.4.0
82767 silly build grunt-contrib-imagemin@0.3.0
82768 info linkStuff grunt-contrib-imagemin@0.3.0
82769 silly linkStuff grunt-contrib-imagemin@0.3.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82770 verbose linkBins grunt-contrib-imagemin@0.3.0
82771 verbose linkMans grunt-contrib-imagemin@0.3.0
82772 silly build grunt-contrib-jshint@0.11.3
82773 info linkStuff grunt-contrib-jshint@0.11.3
82774 silly linkStuff grunt-contrib-jshint@0.11.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82775 verbose linkBins grunt-contrib-jshint@0.11.3
82776 verbose linkMans grunt-contrib-jshint@0.11.3
82777 silly build grunt-contrib-uglify@0.7.0
82778 info linkStuff grunt-contrib-uglify@0.7.0
82779 silly linkStuff grunt-contrib-uglify@0.7.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82780 verbose linkBins grunt-contrib-uglify@0.7.0
82781 verbose linkMans grunt-contrib-uglify@0.7.0
82782 silly build grunt-contrib-watch@0.6.1
82783 info linkStuff grunt-contrib-watch@0.6.1
82784 silly linkStuff grunt-contrib-watch@0.6.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82785 verbose linkBins grunt-contrib-watch@0.6.1
82786 verbose linkMans grunt-contrib-watch@0.6.1
82787 silly build grunt-filerev@2.3.1
82788 info linkStuff grunt-filerev@2.3.1
82789 silly linkStuff grunt-filerev@2.3.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82790 verbose linkBins grunt-filerev@2.3.1
82791 verbose linkMans grunt-filerev@2.3.1
82792 silly build grunt-google-cdn@0.4.3
82793 info linkStuff grunt-google-cdn@0.4.3
82794 silly linkStuff grunt-google-cdn@0.4.3 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82795 verbose linkBins grunt-google-cdn@0.4.3
82796 verbose linkMans grunt-google-cdn@0.4.3
82797 silly build grunt-newer@1.2.0
82798 info linkStuff grunt-newer@1.2.0
82799 silly linkStuff grunt-newer@1.2.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82800 verbose linkBins grunt-newer@1.2.0
82801 verbose linkMans grunt-newer@1.2.0
82802 silly build grunt-ng-annotate@0.9.2
82803 info linkStuff grunt-ng-annotate@0.9.2
82804 silly linkStuff grunt-ng-annotate@0.9.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82805 verbose linkBins grunt-ng-annotate@0.9.2
82806 verbose linkMans grunt-ng-annotate@0.9.2
82807 silly build grunt-svgmin@2.0.1
82808 info linkStuff grunt-svgmin@2.0.1
82809 silly linkStuff grunt-svgmin@2.0.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82810 verbose linkBins grunt-svgmin@2.0.1
82811 verbose linkMans grunt-svgmin@2.0.1
82812 silly build grunt-usemin@3.1.1
82813 info linkStuff grunt-usemin@3.1.1
82814 silly linkStuff grunt-usemin@3.1.1 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82815 verbose linkBins grunt-usemin@3.1.1
82816 verbose linkMans grunt-usemin@3.1.1
82817 silly build grunt-wiredep@2.0.0
82818 info linkStuff grunt-wiredep@2.0.0
82819 silly linkStuff grunt-wiredep@2.0.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82820 verbose linkBins grunt-wiredep@2.0.0
82821 verbose linkMans grunt-wiredep@2.0.0
82822 silly build jshint-stylish@1.0.2
82823 info linkStuff jshint-stylish@1.0.2
82824 silly linkStuff jshint-stylish@1.0.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82825 verbose linkBins jshint-stylish@1.0.2
82826 verbose linkMans jshint-stylish@1.0.2
82827 silly build load-grunt-tasks@3.5.2
82828 info linkStuff load-grunt-tasks@3.5.2
82829 silly linkStuff load-grunt-tasks@3.5.2 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82830 verbose linkBins load-grunt-tasks@3.5.2
82831 verbose linkMans load-grunt-tasks@3.5.2
82832 silly build time-grunt@1.4.0
82833 info linkStuff time-grunt@1.4.0
82834 silly linkStuff time-grunt@1.4.0 has D:\MyWorkSpace\mm-web\node_modules as its parent node_modules
82835 verbose linkBins time-grunt@1.4.0
82836 verbose linkMans time-grunt@1.4.0
82837 silly doSerial global-link 0
82838 silly doParallel update-linked 0
82839 silly doSerial install 719
82840 silly install abbrev@1.1.0 D:\MyWorkSpace\mm-web\node_modules\.staging\abbrev-416f66ad
82841 info lifecycle abbrev@1.1.0~install: abbrev@1.1.0
82842 silly lifecycle abbrev@1.1.0~install: no script for install, continuing
82843 silly install acorn@0.11.0 D:\MyWorkSpace\mm-web\node_modules\.staging\acorn-2a395b32
82844 info lifecycle acorn@0.11.0~install: acorn@0.11.0
82845 silly lifecycle acorn@0.11.0~install: no script for install, continuing
82846 silly install adm-zip@0.4.7 D:\MyWorkSpace\mm-web\node_modules\.staging\adm-zip-915326cc
82847 info lifecycle adm-zip@0.4.7~install: adm-zip@0.4.7
82848 silly lifecycle adm-zip@0.4.7~install: no script for install, continuing
82849 silly install amdefine@1.0.1 D:\MyWorkSpace\mm-web\node_modules\.staging\amdefine-78b8ed70
82850 info lifecycle amdefine@1.0.1~install: amdefine@1.0.1
82851 silly lifecycle amdefine@1.0.1~install: no script for install, continuing
82852 silly install ansi-regex@0.2.1 D:\MyWorkSpace\mm-web\node_modules\.staging\ansi-regex-ad300dc7
82853 info lifecycle ansi-regex@0.2.1~install: ansi-regex@0.2.1
82854 silly lifecycle ansi-regex@0.2.1~install: no script for install, continuing
82855 silly install ansi-styles@1.1.0 D:\MyWorkSpace\mm-web\node_modules\.staging\ansi-styles-1b138fc2
82856 info lifecycle ansi-styles@1.1.0~install: ansi-styles@1.1.0
82857 silly lifecycle ansi-styles@1.1.0~install: no script for install, continuing
82858 silly install archy@0.0.2 D:\MyWorkSpace\mm-web\node_modules\.staging\archy-44280138
82859 info lifecycle archy@0.0.2~install: archy@0.0.2
82860 silly lifecycle archy@0.0.2~install: no script for install, continuing
82861 silly install underscore.string@2.4.0 D:\MyWorkSpace\mm-web\node_modules\.staging\underscore.string-b95d6eb4
82862 info lifecycle underscore.string@2.4.0~install: underscore.string@2.4.0
82863 silly lifecycle underscore.string@2.4.0~install: no script for install, continuing
82864 silly install array-differ@1.0.0 D:\MyWorkSpace\mm-web\node_modules\.staging\array-differ-ee810cb7
82865 info lifecycle array-differ@1.0.0~install: array-differ@1.0.0
82866 silly lifecycle array-differ@1.0.0~install: no script for install, continuing
82867 silly install array-filter@0.0.1 D:\MyWorkSpace\mm-web\node_modules\.staging\array-filter-f7821000
82868 info lifecycle array-filter@0.0.1~install: array-filter@0.0.1
82869 silly lifecycle array-filter@0.0.1~install: no script for install, continuing
82870 silly install array-find-index@1.0.2 D:\MyWorkSpace\mm-web\node_modules\.staging\array-find-index-76454083
82871 info lifecycle array-find-index@1.0.2~install: array-find-index@1.0.2
82872 silly lifecycle array-find-index@1.0.2~install: no script for install, continuing
82873 silly install array-map@0.0.0 D:\MyWorkSpace\mm-web\node_modules\.staging\array-map-26032a88
82874 info lifecycle array-map@0.0.0~install: array-map@0.0.0
82875 silly lifecycle array-map@0.0.0~install: no script for install, continuing
82876 silly install array-reduce@0.0.0 D:\MyWorkSpace\mm-web\node_modules\.staging\array-reduce-1f00bdc6
82877 info lifecycle array-reduce@0.0.0~install: array-reduce@0.0.0
82878 silly lifecycle array-reduce@0.0.0~install: no script for install, continuing
82879 silly install array-uniq@1.0.3 D:\MyWorkSpace\mm-web\node_modules\.staging\array-uniq-e9b477e2
82880 info lifecycle array-uniq@1.0.3~install: array-uniq@1.0.3
82881 silly lifecycle array-uniq@1.0.3~install: no script for install, continuing
82882 silly install array-union@1.0.2 D:\MyWorkSpace\mm-web\node_modules\.staging\array-union-d2a8094e
82883 info lifecycle array-union@1.0.2~install: array-union@1.0.2
82884 silly lifecycle array-union@1.0.2~install: no script for install, continuing
82885 silly install arrify@1.0.1 D:\MyWorkSpace\mm-web\node_modules\.staging\arrify-515a0614
82886 info lifecycle arrify@1.0.1~install: arrify@1.0.1
82887 silly lifecycle arrify@1.0.1~install: no script for install, continuing
82888 silly install asn1@0.2.3 D:\MyWorkSpace\mm-web\node_modules\.staging\asn1-27a90dce
82889 info lifecycle asn1@0.2.3~install: asn1@0.2.3
82890 silly lifecycle asn1@0.2.3~install: no script for install, continuing
82891 silly install assert-plus@0.2.0 D:\MyWorkSpace\mm-web\node_modules\.staging\assert-plus-19374851
82892 info lifecycle assert-plus@0.2.0~install: assert-plus@0.2.0
82893 silly lifecycle assert-plus@0.2.0~install: no script for install, continuing
82894 silly install async@0.1.22 D:\MyWorkSpace\mm-web\node_modules\.staging\async-c8fe36d6
82895 info lifecycle async@0.1.22~install: async@0.1.22
82896 silly lifecycle async@0.1.22~install: no script for install, continuing
82897 silly install asynckit@0.4.0 D:\MyWorkSpace\mm-web\node_modules\.staging\asynckit-8e18d3dc
82898 info lifecycle asynckit@0.4.0~install: asynckit@0.4.0
82899 silly lifecycle asynckit@0.4.0~install: no script for install, continuing
82900 silly install aws-sign2@0.6.0 D:\MyWorkSpace\mm-web\node_modules\.staging\aws-sign2-4661787c
82901 info lifecycle aws-sign2@0.6.0~install: aws-sign2@0.6.0
82902 silly lifecycle aws-sign2@0.6.0~install: no script for install, continuing
82903 silly install aws4@1.6.0 D:\MyWorkSpace\mm-web\node_modules\.staging\aws4-7012e9bd
82904 info lifecycle aws4@1.6.0~install: aws4@1.6.0
82905 silly lifecycle aws4@1.6.0~install: no script for install, continuing
82906 silly install balanced-match@0.4.2 D:\MyWorkSpace\mm-web\node_modules\.staging\balanced-match-d7f24f5d
82907 info lifecycle balanced-match@0.4.2~install: balanced-match@0.4.2
82908 silly lifecycle balanced-match@0.4.2~install: no script for install, continuing
82909 silly install base64-url@1.3.3 D:\MyWorkSpace\mm-web\node_modules\.staging\base64-url-03a1bb7a
82910 info lifecycle base64-url@1.3.3~install: base64-url@1.3.3
82911 silly lifecycle base64-url@1.3.3~install: no script for install, continuing
82912 silly install basic-auth@1.0.4 D:\MyWorkSpace\mm-web\node_modules\.staging\basic-auth-73918f1b
82913 info lifecycle basic-auth@1.0.4~install: basic-auth@1.0.4
82914 silly lifecycle basic-auth@1.0.4~install: no script for install, continuing
82915 silly install basic-auth-connect@1.0.0 D:\MyWorkSpace\mm-web\node_modules\.staging\basic-auth-connect-d1b44a57
82916 info lifecycle basic-auth-connect@1.0.0~install: basic-auth-connect@1.0.0
82917 silly lifecycle basic-auth-connect@1.0.0~install: no script for install, continuing
82918 silly install batch@0.5.3 D:\MyWorkSpace\mm-web\node_modules\.staging\batch-705a69e2
82919 info lifecycle batch@0.5.3~install: batch@0.5.3
82920 silly lifecycle batch@0.5.3~install: no script for install, continuing
82921 silly install iconv-lite@0.4.11 D:\MyWorkSpace\mm-web\node_modules\.staging\iconv-lite-576e53e9
82922 info lifecycle iconv-lite@0.4.11~install: iconv-lite@0.4.11
82923 silly lifecycle iconv-lite@0.4.11~install: no script for install, continuing
82924 silly install bower@1.8.0 D:\MyWorkSpace\mm-web\node_modules\.staging\bower-961a4696
82925 info lifecycle bower@1.8.0~install: bower@1.8.0
82926 silly lifecycle bower@1.8.0~install: no script for install, continuing
82927 silly install graceful-fs@2.0.3 D:\MyWorkSpace\mm-web\node_modules\.staging\graceful-fs-ab85da60
82928 info lifecycle graceful-fs@2.0.3~install: graceful-fs@2.0.3
82929 silly lifecycle graceful-fs@2.0.3~install: no script for install, continuing
82930 silly install osenv@0.0.3 D:\MyWorkSpace\mm-web\node_modules\.staging\osenv-7eb013b5
82931 info lifecycle osenv@0.0.3~install: osenv@0.0.3
82932 silly lifecycle osenv@0.0.3~install: no script for install, continuing
82933 silly install bower-endpoint-parser@0.2.2 D:\MyWorkSpace\mm-web\node_modules\.staging\bower-endpoint-parser-4bb7fd1b
82934 info lifecycle bower-endpoint-parser@0.2.2~install: bower-endpoint-parser@0.2.2
82935 silly lifecycle bower-endpoint-parser@0.2.2~install: no script for install, continuing
82936 silly install graceful-fs@2.0.3 D:\MyWorkSpace\mm-web\node_modules\.staging\graceful-fs-ead53f78
82937 info lifecycle graceful-fs@2.0.3~install: graceful-fs@2.0.3
82938 silly lifecycle graceful-fs@2.0.3~install: no script for install, continuing
82939 silly install bower-logger@0.2.2 D:\MyWorkSpace\mm-web\node_modules\.staging\bower-logger-6ed3b6f8
82940 info lifecycle bower-logger@0.2.2~install: bower-logger@0.2.2
82941 silly lifecycle bower-logger@0.2.2~install: no script for install, continuing
82942 silly install asn1@0.1.11 D:\MyWorkSpace\mm-web\node_modules\.staging\asn1-12e42ccf
82943 info lifecycle asn1@0.1.11~install: asn1@0.1.11
82944 silly lifecycle asn1@0.1.11~install: no script for install, continuing
82945 silly install assert-plus@0.1.5 D:\MyWorkSpace\mm-web\node_modules\.staging\assert-plus-e2f30e78
82946 info lifecycle assert-plus@0.1.5~install: assert-plus@0.1.5
82947 silly lifecycle assert-plus@0.1.5~install: no script for install, continuing
82948 silly install async@0.2.10 D:\MyWorkSpace\mm-web\node_modules\.staging\async-6199fa5f
82949 info lifecycle async@0.2.10~install: async@0.2.10
82950 silly lifecycle async@0.2.10~install: no script for install, continuing
82951 silly install aws-sign2@0.5.0 D:\MyWorkSpace\mm-web\node_modules\.staging\aws-sign2-78468748
82952 info lifecycle aws-sign2@0.5.0~install: aws-sign2@0.5.0
82953 silly lifecycle aws-sign2@0.5.0~install: no script for install, continuing
82954 silly install caseless@0.8.0 D:\MyWorkSpace\mm-web\node_modules\.staging\caseless-92fb5d55
82955 info lifecycle caseless@0.8.0~install: caseless@0.8.0
82956 silly lifecycle caseless@0.8.0~install: no script for install, continuing
82957 silly install delayed-stream@0.0.5 D:\MyWorkSpace\mm-web\node_modules\.staging\delayed-stream-0b49852c
82958 info lifecycle delayed-stream@0.0.5~install: delayed-stream@0.0.5
82959 silly lifecycle delayed-stream@0.0.5~install: no script for install, continuing
82960 silly install combined-stream@0.0.7 D:\MyWorkSpace\mm-web\node_modules\.staging\combined-stream-c6bc3be4
82961 info lifecycle combined-stream@0.0.7~install: combined-stream@0.0.7
82962 silly lifecycle combined-stream@0.0.7~install: no script for install, continuing
82963 silly install forever-agent@0.5.2 D:\MyWorkSpace\mm-web\node_modules\.staging\forever-agent-bfafa3ff
82964 info lifecycle forever-agent@0.5.2~install: forever-agent@0.5.2
82965 silly lifecycle forever-agent@0.5.2~install: no script for install, continuing
82966 silly install async@0.9.2 D:\MyWorkSpace\mm-web\node_modules\.staging\async-c4941dcd
82967 info lifecycle async@0.9.2~install: async@0.9.2
82968 silly lifecycle async@0.9.2~install: no script for install, continuing
82969 silly install graceful-fs@2.0.3 D:\MyWorkSpace\mm-web\node_modules\.staging\graceful-fs-4e43ca90
82970 info lifecycle graceful-fs@2.0.3~install: graceful-fs@2.0.3
82971 silly lifecycle graceful-fs@2.0.3~install: no script for install, continuing
82972 silly install hoek@0.9.1 D:\MyWorkSpace\mm-web\node_modules\.staging\hoek-6d516f5a
82973 info lifecycle hoek@0.9.1~install: hoek@0.9.1
82974 silly lifecycle hoek@0.9.1~install: no script for install, continuing
82975 silly install boom@0.4.2 D:\MyWorkSpace\mm-web\node_modules\.staging\boom-4cd63e61
82976 info lifecycle boom@0.4.2~install: boom@0.4.2
82977 silly lifecycle boom@0.4.2~install: no script for install, continuing
82978 silly install cryptiles@0.2.2 D:\MyWorkSpace\mm-web\node_modules\.staging\cryptiles-f7c95e52
82979 info lifecycle cryptiles@0.2.2~install: cryptiles@0.2.2
82980 silly lifecycle cryptiles@0.2.2~install: no script for install, continuing
82981 silly install lru-cache@2.3.1 D:\MyWorkSpace\mm-web\node_modules\.staging\lru-cache-6e566514
82982 info lifecycle lru-cache@2.3.1~install: lru-cache@2.3.1
82983 silly lifecycle lru-cache@2.3.1~install: no script for install, continuing
82984 silly install mime-db@1.12.0 D:\MyWorkSpace\mm-web\node_modules\.staging\mime-db-b6303acb
82985 info lifecycle mime-db@1.12.0~install: mime-db@1.12.0
82986 silly lifecycle mime-db@1.12.0~install: no script for install, continuing
82987 silly install mime-types@2.0.14 D:\MyWorkSpace\mm-web\node_modules\.staging\mime-types-5aada585
82988 info lifecycle mime-types@2.0.14~install: mime-types@2.0.14
82989 silly lifecycle mime-types@2.0.14~install: no script for install, continuing
82990 silly install form-data@0.2.0 D:\MyWorkSpace\mm-web\node_modules\.staging\form-data-7cee819a
82991 info lifecycle form-data@0.2.0~install: form-data@0.2.0
82992 silly lifecycle form-data@0.2.0~install: no script for install, continuing
82993 silly install mime-types@1.0.2 D:\MyWorkSpace\mm-web\node_modules\.staging\mime-types-18407675
82994 info lifecycle mime-types@1.0.2~install: mime-types@1.0.2
82995 silly lifecycle mime-types@1.0.2~install: no script for install, continuing
82996 silly install oauth-sign@0.5.0 D:\MyWorkSpace\mm-web\node_modules\.staging\oauth-sign-34cc5249
82997 info lifecycle oauth-sign@0.5.0~install: oauth-sign@0.5.0
82998 silly lifecycle oauth-sign@0.5.0~install: no script for install, continuing
82999 silly install qs@2.3.3 D:\MyWorkSpace\mm-web\node_modules\.staging\qs-4a2e4693
83000 info lifecycle qs@2.3.3~install: qs@2.3.3
83001 silly lifecycle qs@2.3.3~install: no script for install, continuing
83002 silly install sntp@0.2.4 D:\MyWorkSpace\mm-web\node_modules\.staging\sntp-aeb936f9
83003 info lifecycle sntp@0.2.4~install: sntp@0.2.4
83004 silly lifecycle sntp@0.2.4~install: no script for install, continuing
83005 silly install hawk@1.1.1 D:\MyWorkSpace\mm-web\node_modules\.staging\hawk-076444a4
83006 info lifecycle hawk@1.1.1~install: hawk@1.1.1
83007 silly lifecycle hawk@1.1.1~install: no script for install, continuing
83008 silly install buffer-shims@1.0.0 D:\MyWorkSpace\mm-web\node_modules\.staging\buffer-shims-5c9424ba
83009 info lifecycle buffer-shims@1.0.0~install: buffer-shims@1.0.0
83010 silly lifecycle buffer-shims@1.0.0~install: no script for install, continuing
83011 silly install buffers@0.1.1 D:\MyWorkSpace\mm-web\node_modules\.staging\buffers-5e1899fc
83012 info lifecycle buffers@0.1.1~install: buffers@0.1.1
83013 silly lifecycle buffers@0.1.1~install: no script for install, continuing
83014 silly install builtin-modules@1.1.1 D:\MyWorkSpace\mm-web\node_modules\.staging\builtin-modules-b10b1121
83015 info lifecycle builtin-modules@1.1.1~install: builtin-modules@1.1.1
83016 silly lifecycle builtin-modules@1.1.1~install: no script for install, continuing
83017 silly install bytes@2.1.0 D:\MyWorkSpace\mm-web\node_modules\.staging\bytes-11b81f15
83018 info lifecycle bytes@2.1.0~install: bytes@2.1.0
83019 silly lifecycle bytes@2.1.0~install: no script for install, continuing
83020 silly install camelcase@2.1.1 D:\MyWorkSpace\mm-web\node_modules\.staging\camelcase-dcc19ed4
83021 info lifecycle camelcase@2.1.1~install: camelcase@2.1.1
83022 silly lifecycle camelcase@2.1.1~install: no script for install, continuing
83023 silly install caniuse-db@1.0.30000623 D:\MyWorkSpace\mm-web\node_modules\.staging\caniuse-db-902c6d1a
83024 info lifecycle caniuse-db@1.0.30000623~install: caniuse-db@1.0.30000623
83025 silly lifecycle caniuse-db@1.0.30000623~install: no script for install, continuing
83026 silly install browserslist@0.4.0 D:\MyWorkSpace\mm-web\node_modules\.staging\browserslist-58ded95a
83027 info lifecycle browserslist@0.4.0~install: browserslist@0.4.0
83028 silly lifecycle browserslist@0.4.0~install: no script for install, continuing
